dataset,seed,method,metric,value,source_summary
CSE-CIC-IDS2018,48,nondp,precision,0.9953474740814009,experiments/02_multiseed/results/CSECICIDS2018/seed_48/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,48,nondp,recall,0.9928741092636579,experiments/02_multiseed/results/CSECICIDS2018/seed_48/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,48,nondp,f1,0.9941092532289342,experiments/02_multiseed/results/CSECICIDS2018/seed_48/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,48,nondp,roc_auc,0.9998630561999811,experiments/02_multiseed/results/CSECICIDS2018/seed_48/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,48,dp,accuracy,0.9979888933580148,experiments/02_multiseed/results/CSECICIDS2018/seed_48/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,48,dp,precision,0.9868982776387457,experiments/02_multiseed/results/CSECICIDS2018/seed_48/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,48,dp,recall,0.9799378768499909,experiments/02_multiseed/results/CSECICIDS2018/seed_48/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,48,dp,f1,0.9834057612263234,experiments/02_multiseed/results/CSECICIDS2018/seed_48/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,48,dp,roc_auc,0.999557504894494,experiments/02_multiseed/results/CSECICIDS2018/seed_48/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,49,centralized,accuracy,0.9996577785382699,experiments/02_multiseed/results/CSECICIDS2018/seed_49/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,49,centralized,precision,0.9976915466637353,experiments/02_multiseed/results/CSECICIDS2018/seed_49/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,49,centralized,recall,0.9966689849555255,experiments/02_multiseed/results/CSECICIDS2018/seed_49/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,49,centralized,f1,0.997180003662333,experiments/02_multiseed/results/CSECICIDS2018/seed_49/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,49,centralized,roc_auc,0.9999146736636243,experiments/02_multiseed/results/CSECICIDS2018/seed_49/centralized/centralized_xgboost_CSECICIDS2018_summary.json
CSE-CIC-IDS2018,49,nondp,accuracy,0.999306668207404,experiments/02_multiseed/results/CSECICIDS2018/seed_49/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,49,nondp,precision,0.9936752824187475,experiments/02_multiseed/results/CSECICIDS2018/seed_49/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,49,nondp,recall,0.9949119660309674,experiments/02_multiseed/results/CSECICIDS2018/seed_49/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,49,nondp,f1,0.9942932396839332,experiments/02_multiseed/results/CSECICIDS2018/seed_49/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,49,nondp,roc_auc,0.999781799511014,experiments/02_multiseed/results/CSECICIDS2018/seed_49/nondp_local_10/iov_global_server_ensemble_summary.json
CSE-CIC-IDS2018,49,dp,accuracy,0.9979644489678912,experiments/02_multiseed/results/CSECICIDS2018/seed_49/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,49,dp,precision,0.9935693722660486,experiments/02_multiseed/results/CSECICIDS2018/seed_49/full_dp/global_ensemble_summary.json
CSE-CIC-IDS2018,49,dp,recall,0.972766206669351,experiments/02_multiseed/results/CSECICIDS2018/seed_49/full_dp/global_ensemble_summary.json
